"visibility","datetime","coord.lon","coord.lat","main.temp","main.feels_like","main.temp_min","main.temp_max","main.pressure","main.humidity","main.sea_level","main.grnd_level","wind.speed","wind.deg","wind.gust","clouds.all","sys.sunrise","sys.sunset","weather.id","weather.main","weather.description","weather.icon","extraction_date_time","city_name","sys.type","sys.id","rain.1h"
10000.0,"2023-11-06 15:43:58+08:00",125.5436,8.9492,29.18,34.8,29.18,29.18,1008.0,78.0,1008.0,1007.0,1.57,347.0,3.1,79.0,"2023-11-06 05:28:07+08:00","2023-11-06 17:14:42+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:45:39.748336+08:00","Butuan","","",""
10000.0,"2023-11-06 15:45:41+08:00",125.5344,9.1236,29.31,35.15,29.31,29.31,1008.0,78.0,1008.0,1007.0,2.12,355.0,3.7,50.0,"2023-11-06 05:28:21+08:00","2023-11-06 17:14:33+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:45:41.384225+08:00","Cabadbaran","","",""
10000.0,"2023-11-06 15:45:42+08:00",120.9667,15.4833,30.46,36.73,30.46,30.46,1009.0,72.0,1009.0,1005.0,2.81,134.0,4.14,33.0,"2023-11-06 05:54:06+08:00","2023-11-06 17:25:21+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:45:42.950807+08:00","Cabanatuan City","","",""
10000.0,"2023-11-06 15:45:45+08:00",121.1262,14.2726,31.49,38.49,30.51,33.92,1009.0,77.0,1009.0,1007.0,5.23,88.0,7.93,7.0,"2023-11-06 05:52:00+08:00","2023-11-06 17:26:10+08:00",800.0,"Clear","clear sky","01d","2023-11-06 15:45:45.460786+08:00","Cabuyao",2.0,2084056.0,""
10000.0,"2023-11-06 15:45:46+08:00",123.2856,10.9506,29.16,33.88,29.16,29.16,1009.0,74.0,1009.0,1009.0,2.61,42.0,3.42,79.0,"2023-11-06 05:39:28+08:00","2023-11-06 17:21:26+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:45:46.787858+08:00","Cadiz","","",""
10000.0,"2023-11-06 15:45:47+08:00",124.6472,8.4822,29.13,34.02,29.13,29.13,1008.0,75.0,1008.0,1007.0,1.54,343.0,1.82,36.0,"2023-11-06 05:31:10+08:00","2023-11-06 17:18:50+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:45:48.005223+08:00","Cagayan de Oro","","",""
10000.0,"2023-11-06 15:45:50+08:00",120.8133,13.9324,30.31,36.33,30.31,30.31,1009.0,72.0,1009.0,1006.0,4.2,112.0,6.64,55.0,"2023-11-06 05:52:51+08:00","2023-11-06 17:27:49+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:45:50.082921+08:00","Calaca","","",""
10000.0,"2023-11-06 15:45:51+08:00",121.1653,14.2117,30.85,37.79,30.51,32.97,1009.0,72.0,1009.0,1008.0,4.76,82.0,7.26,10.0,"2023-11-06 05:51:47+08:00","2023-11-06 17:26:05+08:00",800.0,"Clear","clear sky","01d","2023-11-06 15:45:51.612894+08:00","Calamba",2.0,2084056.0,""
10000.0,"2023-11-06 15:36:30+08:00",121.1803,13.4117,30.62,37.62,30.62,30.62,1009.0,77.0,1009.0,1009.0,4.46,81.0,5.88,23.0,"2023-11-06 05:50:46+08:00","2023-11-06 17:26:58+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:45:53.928074+08:00","Calapan",2.0,2011004.0,""
10000.0,"2023-11-06 15:45:55+08:00",124.6,12.0667,28.72,33.97,28.72,28.72,1009.0,80.0,1009.0,1008.0,3.26,65.0,6.55,81.0,"2023-11-06 05:35:30+08:00","2023-11-06 17:14:52+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:45:55.598131+08:00","Calbayog City","","",""
10000.0,"2023-11-06 15:45:57+08:00",120.9667,14.65,33.36,40.36,30.57,33.99,1010.0,68.0,"","",4.02,86.0,5.81,20.0,"2023-11-06 05:53:06+08:00","2023-11-06 17:26:21+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:45:57.268864+08:00","Caloocan City",2.0,2008256.0,""
10000.0,"2023-11-06 15:45:59+08:00",120.4517,17.1947,29.41,34.51,29.41,29.41,1010.0,74.0,1010.0,1009.0,1.59,286.0,1.56,9.0,"2023-11-06 05:58:14+08:00","2023-11-06 17:25:20+08:00",800.0,"Clear","clear sky","01d","2023-11-06 15:45:59.273074+08:00","Candon","","",""
10000.0,"2023-11-06 15:36:38+08:00",123.1964,10.3864,26.17,26.17,26.17,26.17,1009.0,79.0,1009.0,948.0,2.21,74.0,3.35,58.0,"2023-11-06 05:39:10+08:00","2023-11-06 17:22:26+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:46:01.306483+08:00","Canlaon","","",""
10000.0,"2023-11-06 15:46:03+08:00",123.6402,10.1061,31.98,38.98,31.98,31.98,1008.0,70.0,1008.0,1007.0,2.72,54.0,3.74,31.0,"2023-11-06 05:37:04+08:00","2023-11-06 17:20:59+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:46:03.889685+08:00","Carcar",1.0,8187.0,""
10000.0,"2023-11-06 15:46:05+08:00",121.0576,14.3132,31.42,38.42,30.44,33.86,1010.0,75.0,"","",2.68,91.0,3.13,9.0,"2023-11-06 05:52:20+08:00","2023-11-06 17:26:23+08:00",800.0,"Clear","clear sky","01d","2023-11-06 15:46:05.357349+08:00","Carmona",2.0,2084056.0,""
10000.0,"2023-11-06 15:46:07+08:00",124.8861,11.7753,28.95,33.57,28.95,28.95,1009.0,75.0,1009.0,1004.0,3.57,57.0,5.92,44.0,"2023-11-06 05:34:01+08:00","2023-11-06 17:14:04+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:46:07.327543+08:00","Catbalogan","","",""
10000.0,"2023-11-06 15:46:08+08:00",121.7725,16.9347,30.27,36.5,30.27,30.27,1010.0,73.0,1010.0,1003.0,2.3,83.0,3.7,15.0,"2023-11-06 05:52:38+08:00","2023-11-06 17:20:22+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:46:08.484570+08:00","Cauayan","","",""
10000.0,"2023-11-06 15:46:10+08:00",120.9169,14.4825,32.23,39.23,30.59,34.01,1009.0,71.0,"","",2.57,100.0,"",20.0,"2023-11-06 05:53:06+08:00","2023-11-06 17:26:45+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:46:10.376552+08:00","Cavite City",1.0,8160.0,""
10000.0,"2023-11-06 15:36:49+08:00",123.8907,10.3167,31.81,37.23,30.32,31.81,1010.0,62.0,"","",1.03,40.0,"",75.0,"2023-11-06 05:36:19+08:00","2023-11-06 17:19:45+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:46:12.448389+08:00","Cebu City",1.0,8187.0,""
10000.0,"2023-11-06 15:36:51+08:00",121.1,14.6333,32.77,39.77,29.97,33.94,1009.0,67.0,"","",2.57,100.0,"",20.0,"2023-11-06 05:52:33+08:00","2023-11-06 17:25:50+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:46:14.485521+08:00","City of Marikina",2.0,2008256.0,""
10000.0,"2023-11-06 15:46:16+08:00",123.5833,12.3333,28.69,33.7,28.69,28.69,1009.0,79.0,1009.0,1005.0,5.08,66.0,7.34,59.0,"2023-11-06 05:39:53+08:00","2023-11-06 17:18:37+08:00",500.0,"Rain","light rain","10d","2023-11-06 15:46:16.440173+08:00","City of Masbate","","",0.89
10000.0,"2023-11-06 15:36:04+08:00",122.65,11.15,29.23,35.16,29.23,29.23,1009.0,79.0,1009.0,1003.0,3.41,42.0,5.48,38.0,"2023-11-06 05:42:14+08:00","2023-11-06 17:23:44+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:46:18.207731+08:00","City of Passi",2.0,2073369.0,""
10000.0,"2023-11-06 15:46:20+08:00",123.9833,12.9833,28.11,32.7,28.11,28.11,1010.0,82.0,1010.0,1004.0,4.2,65.0,6.39,73.0,"2023-11-06 05:39:03+08:00","2023-11-06 17:16:16+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:46:20.533335+08:00","City of Sorsogon","","",""
10000.0,"2023-11-06 15:36:59+08:00",124.2464,7.2236,28.83,34.07,28.83,28.83,1008.0,79.0,1008.0,1007.0,2.65,280.0,4.5,32.0,"2023-11-06 05:31:20+08:00","2023-11-06 17:21:52+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:46:23.064444+08:00","Cotabato","","",""
10000.0,"2023-11-06 15:46:24+08:00",121.5047,17.7061,30.91,37.66,30.91,30.91,1010.0,71.0,1010.0,1006.0,1.94,55.0,2.48,24.0,"2023-11-06 05:54:39+08:00","2023-11-06 17:20:30+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:46:24.470477+08:00","Dagupan","","",""
10000.0,"2023-11-06 15:46:26+08:00",124.0272,10.5208,29.98,36.98,29.98,32.03,1009.0,82.0,1009.0,1008.0,4.47,34.0,6.26,72.0,"2023-11-06 05:36:00+08:00","2023-11-06 17:18:58+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:46:26.891030+08:00","Danao",2.0,2089763.0,""
10000.0,"2023-11-06 15:37:05+08:00",123.9469,10.2706,32.03,37.76,30.54,32.03,1010.0,62.0,"","",1.03,40.0,"",75.0,"2023-11-06 05:36:02+08:00","2023-11-06 17:19:34+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:46:28.707962+08:00","Dapitan",1.0,8187.0,""
10000.0,"2023-11-06 15:46:30+08:00",120.9367,14.3294,31.14,38.14,30.07,33.49,1009.0,76.0,1009.0,1000.0,5.04,98.0,8.0,11.0,"2023-11-06 05:52:50+08:00","2023-11-06 17:26:51+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:46:30.995872+08:00","Dasmariñas",2.0,2084056.0,""
10000.0,"2023-11-06 15:46:33+08:00",125.6128,7.0731,33.05,40.05,33.05,33.05,1007.0,62.0,"","",2.57,20.0,"",40.0,"2023-11-06 05:25:42+08:00","2023-11-06 17:16:35+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:46:33.129225+08:00","Davao",1.0,8154.0,""
10000.0,"2023-11-06 15:46:35+08:00",125.3572,6.7497,28.98,34.05,28.98,28.98,1008.0,77.0,1008.0,1006.0,2.42,107.0,3.16,16.0,"2023-11-06 05:26:21+08:00","2023-11-06 17:17:58+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:46:35.741465+08:00","Digos","","",""
10000.0,"2023-11-06 15:46:38+08:00",123.3414,8.5894,29.28,35.07,29.28,29.28,1008.0,78.0,1008.0,1007.0,3.64,56.0,5.3,44.0,"2023-11-06 05:36:31+08:00","2023-11-06 17:23:56+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:46:38.246962+08:00","Dipolog","","",""
10000.0,"2023-11-06 15:46:40+08:00",123.3081,9.3103,30.99,37.57,30.99,30.99,1008.0,70.0,"","",4.12,70.0,"",20.0,"2023-11-06 05:37:29+08:00","2023-11-06 17:23:14+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:46:40.504142+08:00","Dumaguete",1.0,8185.0,""
10000.0,"2023-11-06 15:35:32+08:00",124.5225,8.5631,29.42,34.09,29.42,29.42,1008.0,72.0,1008.0,1008.0,1.25,329.0,1.4,25.0,"2023-11-06 05:31:46+08:00","2023-11-06 17:19:14+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:46:41.774697+08:00","El Salvador","","",""
10000.0,"2023-11-06 15:46:43+08:00",123.4992,10.8403,29.17,33.91,29.17,29.17,1008.0,74.0,1008.0,1006.0,3.16,1.0,3.3,64.0,"2023-11-06 05:38:29+08:00","2023-11-06 17:20:42+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:46:43.342136+08:00","Escalante","","",""
10000.0,"2023-11-06 15:37:18+08:00",120.9464,15.3072,35.74,42.74,35.74,35.74,1009.0,70.0,1009.0,1006.0,4.41,112.0,7.61,21.0,"2023-11-06 05:53:58+08:00","2023-11-06 17:25:39+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:46:45.720003+08:00","Gapan",1.0,8152.0,""
10000.0,"2023-11-06 15:37:19+08:00",125.1717,6.1128,34.88,41.88,34.88,34.88,1008.0,55.0,"","",5.14,150.0,"",20.0,"2023-11-06 05:26:22+08:00","2023-11-06 17:19:26+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:46:47.034887+08:00","General Santos",1.0,8162.0,""
10000.0,"2023-11-06 15:37:21+08:00",120.8817,14.3869,31.47,38.47,29.92,33.9,1009.0,75.0,1009.0,1007.0,4.86,102.0,7.63,16.0,"2023-11-06 05:53:07+08:00","2023-11-06 17:27:00+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:46:48.495219+08:00","General Trias",2.0,2084056.0,""
10000.0,"2023-11-06 15:46:50+08:00",125.1167,8.8333,29.54,35.79,29.54,29.54,1009.0,78.0,1009.0,1009.0,1.6,4.0,2.08,78.0,"2023-11-06 05:29:42+08:00","2023-11-06 17:16:33+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:46:50.401269+08:00","Gingoog City","","",""
10000.0,"2023-11-06 15:46:52+08:00",122.8706,10.0989,29.68,35.93,29.68,29.68,1008.0,77.0,1008.0,1008.0,3.18,16.0,4.17,37.0,"2023-11-06 05:40:08+08:00","2023-11-06 17:24:04+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:46:52.881205+08:00","Himamaylan","","",""
10000.0,"2023-11-06 15:37:27+08:00",121.8892,17.1485,30.61,36.85,30.61,30.61,1011.0,71.0,1011.0,1006.0,1.45,94.0,2.64,29.0,"2023-11-06 05:52:25+08:00","2023-11-06 17:19:39+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:46:54.422047+08:00","Ilagan","","",""
10000.0,"2023-11-06 15:37:29+08:00",124.4,8.25,26.57,26.57,26.57,26.57,1009.0,87.0,1009.0,976.0,1.01,1.0,1.37,67.0,"2023-11-06 05:31:54+08:00","2023-11-06 17:20:05+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:46:56.580378+08:00","Iligan City","","",""
10000.0,"2023-11-06 15:46:58+08:00",122.55,10.75,29.69,35.46,29.69,29.69,1008.0,75.0,1008.0,1007.0,5.59,34.0,7.41,64.0,"2023-11-06 05:42:11+08:00","2023-11-06 17:24:36+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:46:58.707097+08:00","Iloilo City","","",""
10000.0,"2023-11-06 15:47:00+08:00",120.9367,14.4297,31.86,38.86,30.55,33.4,1009.0,71.0,"","",2.57,100.0,"",20.0,"2023-11-06 05:52:57+08:00","2023-11-06 17:26:44+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:47:00.778253+08:00","Imus",2.0,2037715.0,""
10000.0,"2023-11-06 15:47:02+08:00",123.4167,13.4167,29.01,34.55,29.01,29.01,1009.0,79.0,1009.0,1007.0,1.75,58.0,3.49,27.0,"2023-11-06 05:41:50+08:00","2023-11-06 17:18:01+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:47:02.683231+08:00","Iriga City","","",""
10000.0,"2023-11-06 15:47:05+08:00",122.9888,10.2048,30.05,36.44,30.05,30.05,1008.0,75.0,1008.0,1005.0,1.86,34.0,3.4,42.0,"2023-11-06 05:39:47+08:00","2023-11-06 17:23:29+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:47:05.210750+08:00","Isabela","","",""
10000.0,"2023-11-06 15:37:37+08:00",122.8122,9.9889,29.34,35.47,29.34,29.34,1008.0,79.0,1008.0,1007.0,2.83,6.0,3.89,35.0,"2023-11-06 05:40:15+08:00","2023-11-06 17:24:26+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:47:06.835944+08:00","Kabankalan","","",""
10000.0,"2023-11-06 15:47:09+08:00",125.0894,7.0083,28.38,33.25,28.38,28.38,1008.0,81.0,1008.0,978.0,1.03,148.0,2.39,69.0,"2023-11-06 05:27:43+08:00","2023-11-06 17:18:45+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:47:09.352225+08:00","Kidapawan","","",""
10000.0,"2023-11-06 15:44:59+08:00",124.8469,6.5031,29.16,36.13,29.16,29.16,1008.0,84.0,1008.0,1002.0,0.08,119.0,0.4,92.0,"2023-11-06 05:28:07+08:00","2023-11-06 17:20:17+08:00",804.0,"Clouds","overcast clouds","04d","2023-11-06 15:47:11.688653+08:00","Koronadal","","",""
10000.0,"2023-11-06 15:37:43+08:00",122.9208,10.4233,29.64,35.57,29.64,29.64,1008.0,76.0,1008.0,1005.0,3.6,13.0,4.84,30.0,"2023-11-06 05:40:19+08:00","2023-11-06 17:23:30+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:47:13.418324+08:00","La Carlota","","",""
10000.0,"2023-11-06 15:47:14+08:00",125.7022,6.0872,28.1,32.35,28.1,28.1,1008.0,80.0,1008.0,1007.0,2.14,74.0,2.33,78.0,"2023-11-06 05:24:13+08:00","2023-11-06 17:17:21+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:47:14.714754+08:00","Lamitan","","",""
10000.0,"2023-11-06 15:37:47+08:00",120.5936,18.1989,31.95,38.95,31.95,31.95,1009.0,70.0,"","",3.6,320.0,"",20.0,"2023-11-06 05:58:54+08:00","2023-11-06 17:23:32+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:47:16.153005+08:00","Laoag",1.0,8159.0,""
10000.0,"2023-11-06 15:47:18+08:00",123.9494,10.3103,32.02,37.74,29.97,32.02,1010.0,62.0,"","",1.03,40.0,"",75.0,"2023-11-06 05:36:04+08:00","2023-11-06 17:19:31+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:47:18.163190+08:00","Lapu-Lapu City",1.0,8187.0,""
10000.0,"2023-11-06 15:47:19+08:00",120.9828,14.4506,31.88,38.88,30.51,33.36,1010.0,71.0,"","",4.47,109.0,8.05,20.0,"2023-11-06 05:52:48+08:00","2023-11-06 17:26:31+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:47:19.814534+08:00","Las Piñas",2.0,2005706.0,""
10000.0,"2023-11-06 15:47:21+08:00",123.7333,13.1333,28.6,33.65,28.6,28.6,1010.0,80.0,1010.0,1007.0,3.06,65.0,5.33,49.0,"2023-11-06 05:40:14+08:00","2023-11-06 17:17:05+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:47:21.769515+08:00","Legazpi City","","",""
10000.0,"2023-11-06 15:47:24+08:00",123.5325,13.2403,28.92,34.73,28.92,28.92,1009.0,81.0,1009.0,1004.0,1.51,78.0,2.43,44.0,"2023-11-06 05:41:09+08:00","2023-11-06 17:17:46+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:47:24.232112+08:00","Ligao","","",""
10000.0,"2023-11-06 15:47:25+08:00",121.1667,13.95,28.59,31.53,28.59,28.59,1009.0,68.0,1009.0,973.0,2.57,68.0,4.47,28.0,"2023-11-06 05:51:28+08:00","2023-11-06 17:26:23+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:47:25.781649+08:00","Lipa City",2.0,2011004.0,""
